Name of the game,Fit platform,Num Of comments,Num Of likes,Raiting,Grade,Num of pros,Num of cons,First Released,The game rviewer,The date of the review
World Of Warcraft: Dragonflight Review In Progress - Who Says You Can't Go Home?,PC,52,5,In Progress,9,5.0,4.0,"Nov 23, 2004","
    Cameron Koch
  ","December 7, 2022 at 11:45AM PST"
Crisis Core: Final Fantasy 7 Reunion Review - Conflict Resolved,PS5,45,10,Great,8,4.0,2.0,"Mar 24, 2008","
    Jessica Howard
  ","December 6, 2022 at 12:28PM PST"
The Callisto Protocol Review - I Don't Belong Here,XBSX,261,15,Mediocre,5,3.0,3.0,"Dec 2, 2022","
    Jordan Ramée
  ","December 1, 2022 at 9:00PM PST"
Marvel's Midnight Suns Review - XCOM Superhero Squad,PC,32,11,Great,8,3.0,2.0,"Dec 2, 2022","
    Jordan Ramée
  ","November 30, 2022 at 10:17AM PST"
Evil West Review - Undead Redemption,PC,32,9,Fair,6,3.0,3.0,"Nov 22, 2022","
    Richard Wakeling
  ","November 23, 2022 at 5:38PM PST"
Call Of Duty: Warzone 2 Review - Al Mazrah Shines,PS5,6,6,Great,8,3.0,2.0,"Nov 14, 2022","
    S.E. Doster
  ","November 23, 2022 at 8:23AM PST"
Pokemon Scarlet & Violet Review - A Braviary New World,"NS, NS, NS",63,14,Great,8,4.0,3.0,"Nov 18, 2022","
    Jake Dekker
  ","November 21, 2022 at 12:56PM PST"
The Dark Pictures Anthology: The Devil In Me Review - Holmes Sweet Holmes,PS5,4,3,Good,7,3.0,2.0,"Nov 18, 2022","
    Mark Delaney
  ","November 21, 2022 at 12:56PM PST"
Marvel's Spider-Man: Miles Morales Review - Miles Per Power,"PS4, PC",144,47,Good,7,3.0,2.0,"Nov 12, 2020","
    Alessandro Barbosa
  ","November 18, 2022 at 9:43AM PST"
Somerville Review - I Wanted To Believe,XBSX,14,1,Fair,6,2.0,3.0,"Nov 15, 2022","
    Mark Delaney
  ","November 15, 2022 at 6:27AM PST"
Tactics Ogre Reborn Review - 4D Chess,NS,28,10,Great,8,3.0,2.0,"May 1, 1998","
    Heidi Kemps
  ","November 10, 2022 at 4:40PM PST"
Pentiment Review - Layers Of History,XBSX,80,9,Fair,6,3.0,2.0,"Nov 14, 2022","
    Jordan Ramée
  ","November 14, 2022 at 6:00AM PST"
"Sonic Frontiers Review - Sonic, Is That You?",PS5,54,10,Good,7,4.0,4.0,"Nov 8, 2022","
    Richard Wakeling
  ","November 7, 2022 at 6:00AM PST"
"God Of War Ragnarok Review - Blood, Sweat, And Tyrs",PS5,184,26,Superb,9,4.0,1.0,"Nov 9, 2022","
    Tamoor Hussain
  ","November 3, 2022 at 9:00AM PDT"
